餐厅名称,餐厅ID,市场,城市,订单TC,人工干预TC,去除大单TC,人工干预TC占比,准点率,30分钟内送达TC,30分钟送达TC占比,投诉TC,投诉TC占比,平均离店时间,等待骑手时间,等待餐点时间,订单平均完成时间,趟次,并单率,延时时间,宅急送营业时间,延时占营业时间,停单时间,停单占营业时间,骑手实际工作时间,CPH,到店违规占比,妥投违规占比,离店违规占比,到店违规TC,妥投违规TC,离店违规TC,准时TC,计费TC,
GZH708新湖HS,	2346,深圳市场,深圳市,528,30,521,5.68%,93.09%,247,47.41%,3,0.57%,19.5,9.2,10.4,31.8,339,1.56,295.0,5040,5.85%,0.2,0%,339.1,1.56,0.0691,0.0537,0.0787,36,28,41,485,528,
GZH564新湖PH,	260,深圳市场,深圳市,147,28,144,19.05%,96.53%,45,31.25%,0,0%,22.1,10.8,11.7,34.8,103,1.43,303.1,4830,6.28%,24.1,0.5%,107.3,1.37,0.0000,0.1458,0.0069,0,21,1,139,146,
PSH583慈溪保利城店PH,	1352,杭州市场,宁波市,184,1,184,0.54%,98.37%,90,48.91%,1,0.54%,19.6,6.1,13.4,29.1,133,1.38,64.1,4830,1.33%,3.5,0.07%,171.0,1.08,0.0000,0.0272,0.0000,0,5,0,181,184,
GZ1518水榭春天PH,	237,深圳市场,深圳市,319,63,319,19.75%,86.21%,101,31.66%,5,1.57%,23.0,12.3,10.7,34.8,239,1.33,163.7,4830,3.39%,0.0,0%,204.4,1.56,0.0094,0.0313,0.0282,3,10,9,275,320,
PBJ073金融街,	2001,北京市场,北京市,294,16,289,5.44%,96.19%,195,67.47%,1,0.34%,18.2,6.9,11.3,27.4,206,1.43,19.0,5040,0.38%,0.0,0%,199.9,1.47,0.0000,0.0069,0.0069,0,2,2,278,294,
GZ1531南庄吉利PH,	1949,广州市场,佛山市,224,14,222,6.25%,92.79%,129,58.11%,3,1.34%,15.7,6.6,9.2,29.0,169,1.33,146.8,4830,3.04%,10.7,0.22%,156.2,1.43,0.0000,0.0180,0.0000,0,4,0,206,224,
PSH369杭州丁兰,	1010,杭州市场,杭州市,842,83,841,9.86%,96.18%,408,48.69%,3,0.36%,19.9,8.3,11.5,30.5,493,1.71,35.9,4830,0.74%,0.0,0%,439.6,1.92,0.0239,0.0346,0.0143,20,29,12,806,842,
GZ1591柳州新地王店PH,	398,深圳市场,柳州市,122,28,119,22.95%,91.53%,61,51.69%,1,0.82%,21.1,11.0,10.1,31.4,97,1.26,180.9,5040,3.59%,54.7,1.08%,95.3,1.28,0.0678,0.1695,0.0593,8,20,7,108,122,
GZ1576长安万达店PH,	1536,广州市场,东莞市,192,7,192,3.65%,93.75%,159,82.81%,2,1.04%,15.1,5.1,9.9,24.6,150,1.28,72.6,5040,1.44%,0.0,0%,147.9,1.30,0.0000,0.0156,0.0000,0,3,0,180,192,
GZH741彩德城店PHHS,	2162,深圳市场,深圳市,464,47,454,10.13%,92.43%,308,68.6%,5,1.08%,27.7,16.2,11.5,37.6,324,1.43,92.8,5040,1.84%,10.8,0.22%,338.6,1.37,0.0334,0.0245,0.0045,15,11,2,415,463,
